Ref,Val,Package,PosX,PosY,Rot,Side
"R304","22k","R_0402_1005Metric",143.490000,-105.745000,0.000000,top
"R305","12k","R_0402_1005Metric",140.690000,-104.745000,0.000000,top
"R306","1k","R_0402_1005Metric",136.400000,-100.910000,-90.000000,top
"R307","1k","R_0402_1005Metric",137.600000,-100.910000,-90.000000,top
"R308","49R9","R_0402_1005Metric",131.502500,-101.545000,-90.000000,top
"R309","0R","R_0402_1005Metric",136.350000,-90.510000,-90.000000,top
"R400","0R","R_0402_1005Metric",166.400000,-90.700000,-90.000000,top
"R401","10k","R_0402_1005Metric",165.920000,-99.220000,0.000000,top
"R402","6k8","R_0402_1005Metric",163.810000,-99.220000,0.000000,top
"R403","22k","R_0402_1005Metric",162.700000,-98.020000,0.000000,top
"R404","12k","R_0402_1005Metric",161.500000,-99.220000,0.000000,top
"R405","49R9","R_0402_1005Metric",157.500000,-102.752500,90.000000,top
"U100","HT7533-1","SOT-89-3",149.040000,-98.070000,90.000000,top
"U101","TLV62569DBV","SOT-23-5",154.340000,-75.120000,180.000000,top
"U102","MCP6001T-E/OT","SOT-23-5",149.350000,-107.000000,90.000000,top
"U200","STM32F103CBT6","LQFP-48_7x7mm_P0.5mm",145.000000,-82.970000,0.000000,top
"U201","USBLC6-2SC6","SOT-23-6",159.790000,-83.370000,180.000000,top
"U300","MCP6001T-E/OT","SOT-23-5",145.700000,-111.330000,90.000000,top
"U301","MCP6001T-E/OT","SOT-23-5",141.402500,-101.020000,0.000000,top
"U302","REF3033AIDBZT","SOT-23",129.815000,-98.570000,180.000000,top
"U303","ADC141S626CIMM_NOPB","VSSOP-10",136.350000,-95.020000,0.000000,top
"U400","DAC7563SDGSR","VSSOP-10",166.350000,-95.020000,0.000000,top
"U401","MCP6001T-E/OT","SOT-23-5",158.460000,-99.482500,90.000000,top
"Y200","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",133.500000,-79.370000,180.000000,top
